TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,Price_euros,TouchScreen,HDD,SSD,SSHD,FStorage
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,1339.69,No,0,128,0,0
Ultrabook,13.3,1440x900,Intel i5,8,macOS,1.34,898.94,No,0,0,0,128
Notebook,15.6,1920x1080,Intel i5,8,No OS,1.86,575.0,No,0,256,0,0
Ultrabook,15.4,2880x1800,Intel i7,16,macOS,1.83,2537.45,No,0,512,0,0
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,1803.6,No,0,256,0,0
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.1,400.0,No,500,0,0,0
Ultrabook,15.4,2880x1800,Intel i7,16,Mac OS X,2.04,2139.97,No,0,0,0,256
Ultrabook,13.3,1440x900,Intel i5,8,macOS,1.34,1158.7,No,0,0,0,256
Ultrabook,14.0,1920x1080,Intel i7,16,Windows 10,1.3,1495.0,No,0,512,0,0
Ultrabook,14.0,1920x1080,Intel i5,8,Windows 10,1.6,770.0,No,0,256,0,0
Notebook,15.6,1366x768,Intel i5,4,No OS,1.86,393.9,No,500,0,0,0
Notebook,15.6,1920x1080,Intel i3,4,No OS,1.86,344.99,No,500,0,0,0
Ultrabook,15.4,2880x1800,Intel i7,16,macOS,1.83,2439.97,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,498.9,No,0,256,0,0
Ultrabook,12.0,2304x1440,Intel M ,8,macOS,0.92,1262.4,No,0,256,0,0
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,1518.55,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,745.0,No,0,256,0,0
Ultrabook,15.4,2880x1800,Intel i7,16,macOS,1.83,2858.0,No,0,512,0,0
Notebook,15.6,1920x1080,Intel i3,8,No OS,2.2,499.0,No,1000,0,0,0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.22,979.0,Yes,0,128,0,0
Netbook,11.6,1366x768,Intel Atom,2,Windows 10,0.98,191.9,No,0,0,0,32
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.5,999.0,No,1000,128,0,0
Notebook,15.6,1366x768,AMD E,4,No OS,1.86,258.0,No,500,0,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.62,819.0,Yes,0,256,0,0
Ultrabook,15.6,1920x1080,Intel i7,8,Windows 10,1.91,659.0,No,0,256,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.3,418.64,No,1000,0,0,0
Ultrabook,13.3,1440x900,Intel i5,8,Mac OS X,1.35,1099.0,No,0,0,0,128
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.2,800.0,No,0,256,0,0
Ultrabook,15.6,1920x1080,Intel i7,8,Windows 10,1.88,1298.0,No,0,512,0,0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,896.0,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel Atom,4,Windows 10,1.89,244.99,No,0,0,0,64
Notebook,14.0,1366x768,AMD E,2,Windows 10,1.65,199.0,No,0,0,0,32
Notebook,17.3,1920x1080,AMD A6,4,Windows 10,2.71,439.0,No,500,0,0,0
Ultrabook,13.3,3200x1800,Intel i7,16,Windows 10,1.2,1869.0,Yes,0,512,0,0
Ultrabook,13.3,1440x900,Intel i5,8,Mac OS X,1.35,998.0,No,0,0,0,256
Notebook,14.0,1366x768,Intel Celeron,4,Windows 10,1.44,249.0,No,0,0,0,64
Notebook,15.6,1366x768,Intel i3,4,Linux,2.1,367.0,No,1000,0,0,0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.8,979.0,No,1000,128,0,0
Notebook,15.6,1366x768,Intel i5,4,Windows 10,1.86,488.69,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.1,879.0,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i3,4,Linux,2,389.0,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.65,1499.0,No,1000,256,0,0
Notebook,15.6,1366x768,Intel i5,8,Linux,2.3,522.99,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,2.2,682.0,No,0,256,0,0
2 in 1 Convertible,17.3,1920x1080,Intel i5,12,Windows 10,2.77,999.0,Yes,1000,0,0,0
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,1419.0,No,0,256,0,0
Notebook,15.6,1366x768,Intel i3,4,No OS,2.2,369.0,No,0,128,0,0
Gaming,17.3,1920x1080,AMD Ryzen,8,Windows 10,3.2,1299.0,No,1000,256,0,0
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,2.3,639.0,No,0,256,0,0
Notebook,17.3,1366x768,Intel Pentium,4,Windows 10,2.8,466.0,No,1000,0,0,0
2 in 1 Convertible,10.1,1920x1200,Intel Atom,4,Android,0.69,319.0,Yes,0,0,0,64
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,841.0,No,0,256,0,0
Notebook,15.6,1920x1080,AMD A6,4,Windows 10,1.86,398.49,No,0,256,0,0
Notebook,13.3,1920x1080,Intel i7,8,Windows 10,1.49,1103.0,No,0,512,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.4,384.0,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.13,767.8,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,1.91,439.0,No,0,128,0,0
Notebook,15.6,1366x768,Intel i5,4,Windows 10,2,586.19,No,0,256,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.43,2449.0,No,2000,256,0,0
Notebook,15.6,1920x1080,Intel i3,4,Linux,2,415.0,No,0,256,0,0
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.8,1299.0,No,2000,256,0,0
Ultrabook,14.0,1920x1080,Intel i5,8,Windows 10,1.7,879.0,No,0,256,0,0
Notebook,14.0,1920x1080,Intel i3,8,No OS,1.7,599.0,No,0,256,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.4,941.0,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,1.86,690.0,No,0,256,0,0
Ultrabook,15.6,1920x1080,Intel i7,16,Windows 10,1.8,1983.0,No,0,512,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,1.86,438.69,No,500,0,0,0
Notebook,14.0,1366x768,Intel Celeron,4,Windows 10,1.44,229.0,No,0,32,0,0
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,1.9,549.0,No,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,12,Linux,3,949.0,No,1000,0,0,0
Ultrabook,13.5,2256x1504,Intel i5,4,Windows 10 S,1.25,1089.0,Yes,0,128,0,0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.4,955.0,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,870.0,No,0,256,0,0
Gaming,17.3,1920x1080,Intel i5,8,Windows 10,2.7,1095.0,No,1000,128,0,0
Notebook,14.0,1366x768,Intel i3,8,Windows 10,2.1,389.0,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,2.2,949.0,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i5,8,No OS,2.2,519.0,No,2000,0,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.02,855.0,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,530.0,No,1000,0,0,0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,977.0,No,1000,128,0,0
Ultrabook,15.6,1920x1080,Intel i5,8,Windows 10,1.88,1096.16,No,0,256,0,0
Ultrabook,12.0,2304x1440,Intel i5,8,macOS,0.92,1510.0,No,0,512,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.63,860.0,No,0,256,0,0
Notebook,15.6,1920x1080,AMD A6,4,Windows 10,2.2,399.0,No,0,128,0,0
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.1,395.0,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.65,1349.0,No,1000,128,0,0
Ultrabook,15.6,1920x1080,Intel i7,8,Windows 10,1.83,699.0,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,1.96,598.99,No,0,256,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.2,1449.0,No,1000,128,0,0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.21,1649.0,No,0,256,0,0
Gaming,15.6,1920x1080,AMD FX,8,Windows 10,2.45,699.0,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,689.0,No,1000,0,0,0
Notebook,13.3,1920x1080,Intel i7,16,Windows 10,1.49,1197.0,No,0,512,0,0
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.65,1195.0,No,0,256,0,0
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.25,1049.0,No,0,256,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.5,847.0,Yes,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Linux,2.2,599.9,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i3,4,Linux,2.2,485.0,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i3,6,Windows 10,2,577.0,No,0,256,0,0
Gaming,15.6,1920x1080,Intel i7,12,Windows 10,2.62,1249.0,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,1.91,719.0,No,0,256,0,0
Notebook,15.6,1920x1080,AMD E,4,Windows 10,2.1,349.0,No,500,0,0,0
Notebook,15.6,1920x1080,Intel i5,8,Linux,2.2,647.0,No,1000,0,0,0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.38,1119.0,No,0,256,0,0
Ultrabook,13.5,2256x1504,Intel i5,8,Windows 10 S,1.25,1340.0,Yes,0,256,0,0
Notebook,14.0,1920x1080,Intel i5,6,Windows 10,1.58,659.0,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,1.85,414.9,No,1000,0,0,0
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.3,1193.0,No,0,256,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.2,1299.0,No,1000,256,0,0
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.58,1480.0,No,0,256,0,0
Ultrabook,15.6,1920x1080,Intel i7,16,Windows 10,1.5,1262.0,No,1000,256,0,0
Ultrabook,13.3,3200x1800,Intel i7,8,Windows 10,1.23,1379.0,Yes,0,256,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.37,1399.0,Yes,0,256,0,0
Notebook,14.0,1366x768,Intel i5,4,Windows 10,1.63,722.0,No,500,0,0,0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.21,1629.0,No,0,256,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.26,1398.99,Yes,0,256,0,0
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.63,1084.0,No,0,512,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.16,1130.33,No,1000,256,0,0
Notebook,17.3,1920x1080,Intel i3,4,Windows 10,2,564.0,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,1.7,1118.0,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i3,6,Windows 10,2.1,479.0,Yes,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,1.8,2241.5,No,2000,256,0,0
Notebook,15.6,1920x1080,Intel i5,8,No OS,2.2,629.0,No,0,256,0,0
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.5,1271.0,No,0,512,0,0
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.1,451.0,No,0,256,0,0
Notebook,15.6,1366x768,Intel Celeron,4,No OS,1.86,259.0,No,500,0,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.63,812.0,No,1000,0,0,0
Notebook,14.0,1366x768,AMD E,4,Windows 10 S,1.65,277.99,No,0,64,0,0
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.8,1396.0,No,2000,256,0,0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,928.0,No,0,256,0,0
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.36,638.99,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,449.0,No,1000,0,0,0
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.6,884.0,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,572.0,No,0,256,0,0
Notebook,15.6,1366x768,Intel i7,8,Windows 10,2.05,598.0,No,1000,0,0,0
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.63,988.0,No,0,256,0,0
Notebook,15.6,1366x768,Intel Celeron,4,No OS,1.9,252.36,No,1000,0,0,0
Gaming,17.3,1920x1080,Intel i5,8,Windows 10,3,938.0,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i5,4,No OS,2.2,499.0,No,1000,0,0,0
Notebook,13.3,1920x1080,Intel i5,4,Windows 10,1.32,699.0,No,0,256,0,0
Notebook,17.3,1920x1080,Intel i3,4,Windows 10,3,655.0,No,1000,0,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.75,1116.02,No,0,256,0,0
Gaming,15.6,1920x1080,Intel i7,8,No OS,2.4,869.0,No,0,256,0,0
Notebook,15.6,1366x768,Intel i5,4,Windows 10,2.1,602.0,No,500,0,0,0
Notebook,15.6,1366x768,AMD A6,4,Windows 10,1.86,369.0,No,0,256,0,0
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.25,1099.0,No,0,256,0,0
Ultrabook,12.5,3840x2160,Intel M ,8,Windows 10,0.97,2014.0,Yes,0,512,0,0
Notebook,15.6,1920x1080,Intel Celeron,4,Windows 10,2,344.0,No,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.9,2029.0,No,1000,256,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.1,447.0,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.56,1249.26,No,0,512,0,0
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,2.62,899.0,No,0,0,1000,0
Notebook,15.6,1366x768,Intel i5,4,Windows 10,1.9,498.0,No,0,128,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.8,1890.0,No,1000,256,0,0
Ultrabook,14.0,1920x1080,Intel i5,4,Windows 10,1.48,1082.0,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i5,6,Windows 10,1.91,619.0,No,0,256,0,0
2 in 1 Convertible,14.0,1920x1080,Intel i3,4,Windows 10,1.74,629.0,Yes,0,256,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.1,1315.0,Yes,0,256,0,0
2 in 1 Convertible,15.6,1920x1080,Intel i7,8,Windows 10,1.56,1049.0,Yes,0,256,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.1,447.0,No,500,0,0,0
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.03,403.0,No,1000,0,0,0
Notebook,17.3,1920x1080,Intel i5,4,Windows 10,3,805.0,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.13,728.0,No,0,256,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.5,1079.0,No,0,256,0,0
Notebook,15.6,1366x768,Intel Celeron,4,Windows 10,2.1,348.0,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.4,1799.0,No,1000,256,0,0
Notebook,15.6,1366x768,Intel Pentium,4,Windows 10,2.1,363.51,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,2.56,1060.49,No,1000,128,0,0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,3,854.0,No,0,256,0,0
Notebook,13.3,1920x1080,Intel i5,4,Windows 10,1.49,754.0,No,500,0,0,0
Ultrabook,13.0,2160x1440,Intel i5,8,Windows 10,1.05,1349.0,No,0,256,0,0
Notebook,17.3,1920x1080,Intel i5,6,Windows 10,2.71,699.0,No,2000,0,0,0
Notebook,15.6,1366x768,AMD A6,4,No OS,2.2,309.0,No,500,0,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2,489.0,No,500,0,0,0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,923.0,No,0,256,0,0
Notebook,15.6,1366x768,Intel i3,8,Windows 10,2.3,459.0,No,1000,0,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.1,449.0,No,0,128,0,0
Gaming,18.4,1920x1080,Intel i7,32,Windows 10,4.4,2799.0,No,1000,512,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,1.90,813.0,No,1000,128,0,0
2 in 1 Convertible,13.3,3840x2160,Intel i5,8,Windows 10,1.29,1499.0,Yes,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,16,Linux,2.02,1049.0,No,2000,256,0,0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.23,1399.0,No,0,256,0,0
2 in 1 Convertible,13.9,3840x2160,Intel i7,16,Windows 10,1.4,1849.0,Yes,0,512,0,0
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.0,793.0,No,0,128,0,0
Notebook,15.6,1920x1080,Intel i5,8,No OS,1.95,1199.0,No,0,256,0,0
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.77,1549.0,Yes,0,512,0,0
Notebook,15.6,3840x2160,Intel i7,16,Windows 10,2.06,2397.0,Yes,0,512,0,0
Gaming,15.6,1920x1080,Intel i5,8,No OS,2.4,779.0,No,0,256,0,0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.12,989.0,No,0,256,0,0
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.8,1085.0,No,1000,128,0,0
2 in 1 Convertible,14.0,2560x1440,Intel i7,16,Windows 10,1.42,2824.0,Yes,0,1000,0,0
Notebook,14.0,1920x1080,Intel Celeron,4,Windows 10,1.3,260.0,No,0,0,0,32
Ultrabook,13.3,1920x1080,Intel i5,8,No OS,1.3,999.9,No,0,256,0,0
Notebook,17.3,1600x900,Intel i5,8,No OS,2.8,698.0,No,0,256,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i7,8,Windows 10,1.62,839.0,Yes,1000,0,0,0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,914.0,No,1000,0,0,0
Gaming,17.3,3840x2160,Intel i7,32,Windows 10,3.49,6099.0,Yes,0,1000,0,0
Notebook,13.3,1920x1080,Intel i5,8,Windows 10,1.49,959.0,No,0,512,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,3.35,1379.0,No,1000,256,0,0
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.5,1045.0,No,0,256,0,0
Gaming,15.6,3840x2160,Intel i7,16,Windows 10,2.65,1845.0,No,1000,512,0,0
Notebook,15.6,1366x768,Intel i5,4,Windows 10,2.1,493.0,No,0,128,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.23,742.0,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,3.2,1749.0,No,1000,512,0,0
Workstation,15.6,3840x2160,Intel Xeon,16,Windows 10,2.8,3055.0,No,1000,256,0,0
Gaming,15.6,1920x1080,Intel i7,16,No OS,2.4,1398.0,No,0,512,0,0
Notebook,15.6,1366x768,Intel i3,6,Windows 10,2.3,439.0,Yes,1000,0,0,0
Ultrabook,13.3,3840x2160,Intel i7,8,Windows 10,1.21,1949.0,Yes,0,256,0,0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.2,1449.0,No,0,256,0,0
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.2,597.0,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Linux,2.4,779.0,No,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.9,1407.0,No,1000,256,0,0
Notebook,15.6,1920x1080,Intel i3,4,No OS,2.1,349.0,No,500,0,0,0
Notebook,15.6,1920x1080,Intel i5,8,No OS,2.2,549.0,No,0,256,0,0
Ultrabook,13.0,2160x1440,Intel i7,8,Windows 10,1.05,1499.0,No,0,512,0,0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.4,931.88,No,0,256,0,0
Notebook,17.3,1600x900,Intel i5,8,No OS,2.8,589.0,No,1000,0,0,0
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.63,1031.0,No,0,256,0,0
Ultrabook,14.0,1920x1080,Intel i5,8,Windows 10,1.6,1149.0,No,0,256,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i7,16,Windows 10,1.62,1279.0,Yes,0,512,0,0
Notebook,15.6,1920x1080,Intel i5,8,Linux,2.2,677.35,No,0,256,0,0
2 in 1 Convertible,14.0,1920x1080,Intel i5,8,Windows 10,1.74,899.0,No,0,256,0,0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.2,1363.0,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.1,794.0,No,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,4.42,2456.34,No,1000,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,832.0,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,16,Windows 10,2.3,859.01,Yes,1000,0,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2,769.0,No,0,256,0,0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.69,891.0,No,500,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,1.9,1269.0,No,1000,0,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.37,398.99,No,1000,0,0,0
Notebook,15.6,1366x768,AMD E,4,Windows 10,2.1,330.0,No,500,0,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,3.2,1499.0,No,1000,256,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.6,859.0,No,0,256,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.6,689.0,Yes,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,16,Linux,2.36,899.0,No,0,256,0,0
Notebook,15.6,1366x768,Intel i3,4,Linux,2.1,390.0,No,1000,0,0,0
Notebook,15.6,1920x1080,AMD A10,4,Windows 10,2.2,575.0,No,1000,128,0,0
Gaming,17.3,1920x1080,Intel i7,32,Windows 10,4.7,3890.0,No,1000,512,0,0
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.5,846.0,No,0,256,0,0
Notebook,15.6,1366x768,Intel i3,8,Windows 10,2.2,589.0,No,0,128,0,0
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.1,1145.0,No,1000,128,0,0
Notebook,17.3,1920x1080,Intel i7,8,No OS,2.69,889.0,No,1000,128,0,0
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.56,879.0,No,0,256,0,0
2 in 1 Convertible,13.9,1920x1080,Intel i7,8,Windows 10,1.38,1079.0,Yes,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,985.0,No,2000,128,0,0
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.04,559.0,Yes,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,3.6,2999.0,No,0,256,0,0
Notebook,13.3,1920x1080,Intel i5,4,Windows 10,1.49,675.0,No,500,0,0,0
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,2040.0,No,0,512,0,0
2 in 1 Convertible,15.6,1920x1080,Intel i7,8,Windows 10,2.08,819.0,Yes,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,4.3,1799.0,No,1000,256,0,0
Notebook,15.6,1366x768,AMD A9,4,Windows 10,1.68,469.0,No,1000,0,0,0
2 in 1 Convertible,13.9,1920x1080,Intel i7,8,Windows 10,1.37,1849.0,Yes,0,512,0,0
Notebook,17.3,1920x1080,Intel i3,4,Windows 10,3,702.0,No,0,256,0,0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.41,949.0,No,0,256,0,0
Notebook,15.6,1366x768,AMD A6,8,Windows 10,1.91,445.9,No,0,128,0,0
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.9,1059.0,No,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,4.14,2499.0,No,1000,512,0,0
2 in 1 Convertible,15.6,1920x1080,Intel i7,8,Windows 10,2,1699.0,Yes,0,512,0,0
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.8,1142.0,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i3,4,No OS,2.2,444.0,No,0,256,0,0
